page,perf_median,perf_runs,lcp_ms,tbt_ms,cls
home,97,97/97/97,1850,43,0.074
docs,94,94/94/96,2070,210,0.023
models,72,72/72/73,3232,553,0.022
pricing,88,88/89/88,3058,0,0.003
status,95,95/95/95,2111,63,0.090
quickstart,99,98/99/99,1849,40,0.004
setup-index,98,98/98/98,1848,74,0.040
setup-guide-aider,95,95/93/97,2315,0,0.009
roleplay-api,98,98/98/98,1844,68,0.003
coding-agent-api,98,97/98/98,1996,83,0.003
openai-compatible-api,88,88/88/86,1843,69,0.210
team,97,97/97/98,1869,117,0.010
support,99,98/99/99,1844,55,0.002
privacy,98,98/98/97,1849,90,0.004
terms,98,98/98/99,1981,57,0.004
what-is-free-the-ai,98,98/97/98,1846,106,0.031
404,85,80/85/85,1858,52,0.273
