page,performance,fcp_ms,lcp_ms,tbt_ms,cls,si_ms,tti_ms
home,96,1857,1972,70,0.070,2881,2158
docs,66,5518,5518,0,0.039,5518,5518
models,56,1974,1974,982,0.476,1974,4716
pricing,92,1713,1713,324,0.005,1713,2649
status,94,2000,2022,154,0.090,2000,3228
quickstart,96,1819,1894,172,0.003,1819,2398
setup-index,94,1718,1718,250,0.043,1718,2470
setup-guide-aider,90,2932,2932,0,0.011,2932,2932
roleplay-api,97,1725,1725,159,0.005,1725,2393
coding-agent-api,97,1716,1716,176,0.006,1716,2404
openai-compatible-api,88,1704,1704,95,0.210,1704,2308
team,94,1805,1880,245,0.010,1805,2575
support,93,2620,2620,0,0.004,2620,2620
privacy,97,1713,1713,173,0.004,1713,2399
terms,91,2780,2780,0,0.003,2780,2780
what-is-free-the-ai,93,2614,2614,0,0.031,2614,2614
404,81,1690,1734,237,0.274,1690,2377
